type,Service,union,local,class,step,1/1/2013,5/1/2013,7/1/2013,1/1/2014,5/1/2014,7/1/2014,1/1/2015,5/1/2015,1/7/2015,12/1/2015,12/31/2015,1/1/2016,7/1/2016,1/1/2017,7/1/2017,1/1/2018,7/1/2018,1/1/2019,7/1/2019,1/1/2020,7/1/2020,1/1/2021,7/1/2021,1/1/2022,7/1/2022,1/1/2023,1/1/2024,7/1/2024,1/1/2025,7/1/2025,1/1/2026,7/1/2026
PD,OPP,OPPA,,Sergeant,Full Wage,,,,,,,,,,,,,,,,,,,,,,,,,,$56.17,$58.70,,$60.32,,,
PD,OPP,OPPA,,First Class Constable,Full Wage,,,,,,,,,,,,,,,,,,,,,,,,,,$53.50,$55.94,,$57.44,,,
PD,Hamilton Police Services,,,First Class Constable,Full Wage,,,,,,,,,,,,,,,,,,,,,,$48.31,,,,,,,,,,
PD,Chatham-Kent Police Association,,,First Class Constable,Full Wage,$38.78,,,,,,,,,,$41.37,$42.13,,$42.91,,$43.71,,$44.52,,$45.34,,,,,,,,,,,,
PD,Toronto Police Services,TPA,,First Class Constable,Full Wage,,,,,,,,,,,,,,,,,,,,,,$47.84,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$54.62,,
